Film 	Lead Studio	Rotten Tomatoes %	Audience  score %	Story	Genre	Number of Theatres in US Opening Weekend	Box Office Average per US Cinema (Opening Weekend)	Domestic Gross	Foreign Gross	Worldwide Gross	Budget	Profitability	Opening Weekend
9	Focus	57	58	Sacrifice	Animation	1661	10398	31.74	16.67	48.41	30	161.37%	10.7
21	Sony	35	73	quest	Crime	2648	9103	81.16	76.69	157.85	35	451.00%	24.1
300	Warner Bros.	60	90	Sacrifice	Action	3103	22844	210.61	245.45	456.07	65	701.64%	70.9
2012	Sony	39	63	Escape	Action	3404	19165	165.6	602.4	768	200	384.00%	65.3
(500) Days of Summer 	Fox	87	81	Love	Comedy	817	4577	32.39	28.33	60.72	7.5	809.60%	3.8
10,000 B.C.	Warner Bros.	9	44	Rescue	Adventure	3410	10518	94.78	175	269.78	105	256.94%	35.9
12 Rounds 	Fox	30	52	Rescue	Action	2331	2286	12.23	5.94	18.17	20	90.85%	5.3
127 Hours	Independent	93	84	Escape	Adventure	916	2333	18.33	42.4	60.73	18	337.39%	2.13
17 Again 	Independent	55	70	Maturation	Comedy	3255	7288	64.2	72.1	136.3	20	681.50%	23.7
27 Dresses	Fox	40	71	Love	Comedy	3057	7526	76.81	83.5	160.31	30	534.36%	23.01
3:10 to Yuma	Lionsgate	88	85	sacrifice	Western	2652	5292	53.61	16.17	69.78	48	145.38%	14
30 Days of Night	Independent	50	57	Monster Force	Horror	2855	5587	39.57	35.53	75.1	32	234.67%	15.6
30 Minutes or Less	Independent	43	48	Comedy	Comedy	2888	4616	37.05	3.49	40.55	28	144.81%	13.33
50/50	Independent	93	93	Discovery	Comedy	2458	3517	34.9	1.62	36.51	8	456.39%	8.64
88 Minutes	Sony	5	51	The Riddle	Drama	2168	3209	17.21	15.37	32.58	30	108.60%	7
A Christmas Carol	Disney	52	72	Transformation	Animation	3683	8159	137.9	187.43	325.33	200	162.67%	30.1
A Dangerous Method	Independent	79	89	Love	Drama			0.54	8.44	8.97	20	44.86%	0.17
A Nightmare on Elm Street	Warner Bros.	13	40	Monster Force	Horror	3332	9875	63.08	52.59	115.67	35	330.49%	32.9
A Perfect Getaway 	Universal	61	50	Escape	Mystery	2159	2755	15.5	7.33	22.83	14	163.07%	5.9
A Serious Man 	Universal	89	64	Love	Drama	6	41890	9.2	21.48	30.68	7	438.29%	0.25
A Very Harold and Kumar Christmas	Lionsgate	72	71	Comedy	Comedy	2875	4506	34.04	??	34.04	19	179.18%	12.95
Abduction	Vertigo Entertainment	4	46	Maturation	Action	3118	3504	28.07	54	82.07	35	234.48%	10.93
Across the Universe	Independent	54	84	Love	Romance	954	4009	24.34	5.02	29.37	45	65.26%	3.8
Adventureland 	Miramax	89	56	Maturation	Comedy	1862	3073	16.04	1.1	17.14	9.8	174.90%	5.7
Albert Nobbs	Independent	53	43		Drama	245	2841	2.75	0	2.75	8	34.38%	0.69
Alice in Wonderland	Disney	52	72	Journey and Return	Adventure	3728	31143	334.19	690.2	1024.39	200	512.20%	116.1
Alien vs. Predator -- Requiem	Fox	14	37	Monster Force	Horror	2611	3853	41.8	87.09	128.88	40	322.21%	10
Aliens in the Attic 	Fox	30	46	Monster Force	Adventure	3106	2578	25.2	32.68	57.88	45	128.62%	8
All About Steve 	Independent	6	35	Comedy	Comedy	2251	4994	33.86	6.26	40.12	15	267.47%	11.2
All About Steve 	Fox	6	35	Comedy	Comedy	2251	4994	33.86	6.26	40.12	15	267.47%	11.2
All Good Things	Independent	33	64	The Riddle	Drama	2	18500	0.58	0.062	0.642	20	3.21%	0.037
Alpha and Omega	Crest	17	41	Journey and Return	Animation	2625	3469	25.12	4.8	29.92	20	149.60%	9.1
Alvin and the Chipmunks	Fox	26	73	Comedy	Animation	3475	12750	217.33	143.14	360.47	70	514.95%	44.3
Alvin and the Chipmunks: The Squeakquel 	Independent	21	59	Comedy	Animation	3700	13210	219.5	221.3	440.7	75	587.60%	48.8
Amelia 	Independent	21	35	Quest	Adventure	820	4761	14.2	5	19.2	40	48.00%	3.9
American Gangster	Universal	79	87	pursuit	Thriller	3054	14264	130.16	137.74	267.9	100	267.90%	43.6
An Education	Sony Classics	94	78	Maturation	Drama	761	1003	12.57	13.52	26.09	7.5	347.87%	0.76
Angels & Demons 	Sony	36	65	The Riddle	Mystery	3527	13100	133.4	352.6	485.9	150	323.93%	46.2
Anonymous	Relativity Media	46	66	Tragedy	Drama	265	3856	4.46	9.73	14.19	30	47.30%	1.02
Another Earth	Independent	63	74	Temptation	Fantasy			1.32	0.45	1.77	0.2	885.50%	0.08
